"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"13.39"	"14.40"	"48.940"	"99.83"	"-3.50"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.40"	"14.43"	"49.180"	"100.60"	"-3.50"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"13.41"	"14.45"	"50.480"	"100.59"	"-3.44"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.42"	"14.51"	"49.760"	"98.94"	"-3.32"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.43"	"14.45"	"51.780"	"98.40"	"-3.38"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.44"	"14.11"	"48.880"	"105.41"	"-3.38"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"13.45"	"13.98"	"51.320"	"98.52"	"-3.50"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.46"	"13.88"	"49.860"	"100.65"	"-3.44"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.47"	"13.61"	"51.340"	"106.72"	"-3.44"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.48"	"13.35"	"55.040"	"106.34"	"-3.38"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"13.49"	"13.10"	"51.580"	"106.78"	"-3.44"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.50"	"12.94"	"52.000"	"106.65"	"-3.44"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.51"	"12.78"	"51.180"	"108.95"	"-3.55"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"13.52"	"12.69"	"52.100"	"109.88"	"-3.38"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.05"	
"13.53"	"12.60"	"50.440"	"111.10"	"-3.61"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"13.54"	"12.53"	"50.560"	"111.31"	"-3.55"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.55"	"12.47"	"50.440"	"111.46"	"-3.44"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.56"	"12.37"	"49.420"	"110.62"	"-3.55"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.57"	"12.28"	"49.780"	"111.34"	"-3.50"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.58"	"12.21"	"47.040"	"112.56"	"-3.67"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"13.59"	"12.19"	"45.760"	"112.62"	"-3.67"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.60"	"12.18"	"45.760"	"112.25"	"-3.44"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.61"	"12.13"	"44.240"	"112.89"	"-3.50"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.62"	"12.10"	"41.000"	"113.50"	"-3.50"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.63"	"12.05"	"41.420"	"114.35"	"-3.44"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"13.64"	"12.02"	"41.200"	"114.71"	"-3.44"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.65"	"11.95"	"40.180"	"114.17"	"-3.55"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.66"	"11.89"	"39.920"	"112.95"	"-3.67"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.67"	"11.73"	"39.520"	"114.98"	"-3.50"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.68"	"11.63"	"39.920"	"115.33"	"-3.44"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"13.69"	"11.48"	"39.040"	"115.82"	"-3.50"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.70"	"11.25"	"39.720"	"115.75"	"-3.67"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.71"	"11.12"	"40.360"	"115.44"	"-3.55"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.72"	"11.02"	"39.680"	"115.46"	"-3.61"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.73"	"10.91"	"40.400"	"114.05"	"-3.44"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"13.74"	"10.86"	"38.620"	"115.66"	"-3.55"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"13.75"	"10.81"	"38.760"	"116.16"	"-3.61"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.76"	"10.78"	"37.020"	"116.34"	"-3.50"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.77"	"10.75"	"36.760"	"116.33"	"-3.38"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.78"	"10.65"	"37.520"	"116.67"	"-3.61"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"13.79"	"10.58"	"37.500"	"116.84"	"-3.55"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"13.80"	"10.20"	"35.400"	"117.41"	"-3.61"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"0.04"	
"13.81"	"10.23"	"35.900"	"117.84"	"-3.61"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"13.82"	"10.22"	"35.620"	"117.88"	"-3.55"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"13.83"	"10.18"	"35.380"	"117.97"	"-3.67"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"13.84"	"10.12"	"35.560"	"118.01"	"-3.67"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"13.85"	"10.10"	"36.120"	"118.14"	"-3.67"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"13.86"	"10.11"	"37.800"	"118.24"	"-3.73"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.87"	"10.14"	"38.940"	"118.22"	"-3.67"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.88"	"10.20"	"40.680"	"118.23"	"-3.73"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"13.89"	"10.28"	"40.120"	"118.08"	"-3.73"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.90"	"10.43"	"40.100"	"118.35"	"-3.61"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.91"	"10.54"	"40.940"	"118.26"	"-3.73"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.92"	"10.68"	"40.340"	"118.48"	"-3.55"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.93"	"10.75"	"40.220"	"118.46"	"-3.61"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.94"	"10.80"	"41.080"	"118.61"	"-3.67"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"13.95"	"10.83"	"41.420"	"118.73"	"-3.67"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"13.96"	"10.86"	"41.500"	"118.72"	"-3.50"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.97"	"10.84"	"42.500"	"119.10"	"-3.61"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"13.98"	"10.81"	"42.340"	"119.18"	"-3.67"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"13.99"	"10.75"	"43.300"	"118.96"	"-3.67"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.00"	"10.67"	"43.540"	"119.17"	"-3.90"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.01"	"10.62"	"44.920"	"119.45"	"-3.73"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.02"	"10.56"	"46.000"	"119.42"	"-3.73"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.03"	"10.53"	"45.000"	"119.34"	"-3.55"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.04"	"10.49"	"46.060"	"119.51"	"-3.73"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.05"	"10.46"	"46.160"	"119.73"	"-3.84"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.06"	"10.48"	"44.580"	"119.60"	"-3.78"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.07"	"10.53"	"45.060"	"119.75"	"-3.50"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.08"	"10.69"	"43.560"	"119.54"	"-3.67"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.09"	"10.82"	"44.860"	"119.72"	"-3.50"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.10"	"10.95"	"44.520"	"119.89"	"-4.19"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.11"	"11.18"	"41.380"	"119.66"	"-3.78"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.12"	"11.30"	"40.560"	"119.87"	"-3.67"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.13"	"11.43"	"41.100"	"119.91"	"-3.61"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.14"	"11.66"	"39.000"	"120.01"	"-3.67"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.15"	"11.85"	"39.920"	"120.45"	"-3.84"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.16"	"12.07"	"37.220"	"120.31"	"-3.78"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.17"	"12.39"	"36.140"	"120.91"	"-3.78"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.18"	"12.58"	"36.700"	"121.09"	"-3.38"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.19"	"12.82"	"35.580"	"121.58"	"-3.73"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.20"	"13.06"	"34.620"	"122.11"	"-3.90"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.21"	"13.25"	"34.160"	"122.09"	"-3.84"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.22"	"13.44"	"35.100"	"122.00"	"-3.73"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.23"	"13.75"	"35.340"	"122.15"	"-3.78"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.24"	"13.92"	"35.760"	"122.10"	"-3.96"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.25"	"14.15"	"35.940"	"122.39"	"-3.67"	"4.03"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.26"	"14.42"	"38.700"	"122.07"	"-3.78"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.27"	"14.42"	"34.720"	"121.92"	"-3.96"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"0.06"	
"14.28"	"14.84"	"38.600"	"122.70"	"-3.84"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"14.29"	"15.27"	"40.000"	"122.99"	"-4.01"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.30"	"15.52"	"42.380"	"123.21"	"-3.78"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.31"	"15.82"	"44.580"	"123.39"	"-4.01"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.32"	"16.02"	"44.660"	"123.69"	"-3.96"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"14.33"	"16.20"	"45.680"	"124.06"	"-3.96"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.34"	"16.44"	"46.200"	"124.30"	"-3.73"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.35"	"16.59"	"47.400"	"124.18"	"-4.13"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.36"	"16.79"	"49.840"	"124.19"	"-4.07"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.37"	"16.93"	"50.700"	"124.23"	"-3.78"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.38"	"17.08"	"51.560"	"124.78"	"-3.90"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.39"	"17.27"	"52.220"	"124.97"	"-4.01"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.40"	"17.37"	"54.840"	"124.21"	"-3.90"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.41"	"17.50"	"57.480"	"124.44"	"-4.01"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.42"	"17.60"	"57.920"	"124.53"	"-4.07"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.43"	"17.63"	"60.500"	"124.45"	"-4.07"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.44"	"17.64"	"61.580"	"124.69"	"-4.07"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.45"	"17.59"	"61.880"	"124.36"	"-4.13"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.46"	"17.44"	"66.820"	"123.83"	"-3.96"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.47"	"17.35"	"65.120"	"124.21"	"-4.13"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.48"	"17.21"	"67.420"	"124.40"	"-4.19"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.49"	"16.96"	"67.540"	"124.67"	"-4.13"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.50"	"16.78"	"68.740"	"123.76"	"-4.01"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.51"	"16.62"	"67.160"	"124.14"	"-4.24"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"14.52"	"16.35"	"67.740"	"122.94"	"-4.07"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.53"	"16.16"	"69.300"	"123.03"	"-4.01"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.54"	"15.92"	"68.680"	"122.20"	"-4.19"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.55"	"15.75"	"69.260"	"121.57"	"-4.07"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.56"	"15.61"	"67.740"	"121.35"	"-4.07"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"14.57"	"15.45"	"66.100"	"123.15"	"-4.07"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.58"	"15.36"	"66.220"	"125.16"	"-4.07"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.59"	"15.24"	"61.940"	"124.43"	"-4.07"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.60"	"15.13"	"61.120"	"124.04"	"-4.01"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.61"	"14.98"	"60.660"	"124.36"	"-4.13"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.62"	"14.71"	"63.020"	"125.65"	"-4.19"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.63"	"14.51"	"62.240"	"125.74"	"-4.19"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.64"	"14.24"	"59.800"	"125.80"	"-4.19"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.65"	"14.04"	"61.820"	"125.69"	"-4.07"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.66"	"13.89"	"61.080"	"126.02"	"-4.13"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.67"	"13.70"	"60.520"	"126.06"	"-4.19"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.68"	"13.63"	"59.360"	"126.29"	"-4.13"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.69"	"13.66"	"58.040"	"126.74"	"-4.19"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"14.70"	"13.79"	"58.500"	"126.75"	"-4.13"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.71"	"14.14"	"57.660"	"126.91"	"-4.07"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.72"	"14.51"	"56.900"	"127.06"	"-4.01"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"14.73"	"14.94"	"56.720"	"127.01"	"-4.30"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"14.74"	"15.49"	"57.360"	"127.33"	"-4.19"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"14.75"	"16.58"	"48.780"	"128.35"	"-4.42"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"0.05"	
"14.76"	"17.17"	"45.980"	"127.98"	"-4.24"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"14.77"	"18.01"	"44.960"	"125.62"	"-4.47"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.78"	"18.62"	"44.460"	"128.56"	"-4.19"	"3.12"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.79"	"19.13"	"43.520"	"130.66"	"-4.53"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.80"	"19.85"	"52.780"	"128.23"	"-4.36"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"14.81"	"20.40"	"52.960"	"128.38"	"-4.19"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.82"	"21.02"	"54.220"	"129.23"	"-4.42"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.83"	"21.54"	"54.800"	"130.06"	"-4.13"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"14.84"	"22.01"	"54.500"	"129.69"	"-4.47"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.85"	"22.72"	"58.600"	"129.85"	"-4.65"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"14.86"	"22.90"	"58.880"	"128.75"	"-4.82"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"14.87"	"23.22"	"57.900"	"130.04"	"-4.70"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"14.88"	"23.51"	"62.000"	"130.26"	"-4.82"	"4.14"	"Disabled"	"Disabled"	"Disabled"	"1.97"	
"14.89"	"23.66"	"61.860"	"126.77"	"-4.53"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"14.90"	"23.37"	"61.000"	"130.27"	"-4.65"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"14.91"	"23.28"	"59.300"	"127.25"	"-4.65"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"14.92"	"23.38"	"59.180"	"130.48"	"-4.65"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.25"	
"14.93"	"24.00"	"57.240"	"131.61"	"-4.59"	"3.74"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"14.94"	"24.59"	"60.220"	"131.41"	"-4.65"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"14.95"	"24.90"	"55.820"	"130.88"	"-4.65"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"14.96"	"25.54"	"57.040"	"130.85"	"-4.59"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"14.97"	"25.46"	"62.140"	"128.90"	"-4.47"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"14.98"	"25.71"	"62.840"	"131.85"	"-4.59"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"14.99"	"25.89"	"69.980"	"137.43"	"-5.16"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"15.00"	"26.23"	"71.620"	"131.17"	"-4.70"	"3.91"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.01"	"26.44"	"74.000"	"130.03"	"-4.82"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"15.02"	"26.76"	"79.260"	"131.13"	"-4.59"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.03"	"27.00"	"80.700"	"133.09"	"-4.42"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"15.04"	"27.28"	"81.940"	"132.12"	"-4.65"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.05"	"27.70"	"82.860"	"131.32"	"-4.65"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.06"	"27.92"	"83.260"	"131.36"	"-4.65"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"15.07"	"27.99"	"81.520"	"130.82"	"-4.76"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"15.08"	"28.19"	"94.640"	"127.77"	"-4.70"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"15.09"	"28.33"	"101.560"	"132.38"	"-4.93"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.10"	"28.50"	"103.320"	"132.80"	"-4.93"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"1.71"	
"15.11"	"29.29"	"94.380"	"131.08"	"-4.82"	"3.35"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.12"	"29.79"	"92.100"	"129.11"	"-4.36"	"3.35"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.13"	"30.13"	"90.680"	"128.18"	"-4.82"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"15.14"	"30.12"	"92.560"	"128.22"	"-4.82"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.15"	"29.40"	"96.600"	"133.73"	"-4.99"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"15.16"	"29.58"	"119.820"	"127.32"	"-4.76"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.17"	"29.47"	"116.260"	"124.49"	"-4.70"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"15.18"	"29.52"	"114.760"	"129.33"	"-4.99"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"15.19"	"29.86"	"123.940"	"131.61"	"-5.34"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.20"	"30.04"	"124.420"	"131.70"	"-4.88"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.21"	"30.30"	"123.340"	"131.12"	"-5.22"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"15.22"	"29.87"	"117.660"	"129.69"	"-5.05"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"15.23"	"29.60"	"131.220"	"131.57"	"-4.65"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"15.24"	"29.11"	"124.520"	"133.06"	"-4.99"	"3.97"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.25"	"29.65"	"116.020"	"137.63"	"-5.34"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.26"	"28.61"	"120.760"	"136.79"	"-4.82"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"15.27"	"28.84"	"135.520"	"131.31"	"-5.16"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.28"	"28.58"	"142.760"	"132.07"	"-5.05"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.75"	
"15.29"	"28.77"	"138.660"	"134.36"	"-4.93"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.30"	"28.99"	"126.880"	"130.82"	"-5.16"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"15.31"	"29.16"	"122.900"	"133.33"	"-5.11"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.32"	"29.38"	"112.240"	"131.72"	"-4.88"	"3.29"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"15.33"	"29.32"	"104.060"	"130.32"	"-4.88"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.34"	"29.28"	"103.900"	"124.80"	"-5.16"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"1.71"	
"15.35"	"29.51"	"97.820"	"130.40"	"-4.93"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"15.36"	"29.11"	"109.460"	"131.57"	"-5.05"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.37"	"27.41"	"104.060"	"132.13"	"-5.16"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"0.07"	
"15.38"	"28.16"	"95.960"	"135.80"	"-5.22"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"15.39"	"28.39"	"93.520"	"138.47"	"-4.99"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"1.48"	
"15.40"	"28.49"	"92.680"	"137.27"	"-5.05"	"3.69"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"15.41"	"29.12"	"80.660"	"137.68"	"-4.70"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"15.42"	"29.45"	"81.260"	"138.48"	"-5.22"	"3.57"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"15.43"	"29.57"	"78.440"	"138.59"	"-4.93"	"3.40"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"15.44"	"29.78"	"82.180"	"140.40"	"-5.05"	"3.52"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"15.45"	"29.85"	"77.600"	"138.13"	"-5.05"	"3.23"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"15.46"	"29.68"	"75.100"	"137.25"	"-5.34"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"15.47"	"29.36"	"84.380"	"142.76"	"-5.22"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"15.48"	"29.28"	"84.980"	"140.10"	"-5.05"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"15.49"	"29.24"	"83.720"	"137.70"	"-5.28"	"3.86"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"15.50"	"29.23"	"91.740"	"138.37"	"-5.34"	"3.80"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"15.51"	"28.91"	"98.360"	"139.51"	"-5.57"	"3.46"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"15.52"	"28.88"	"99.600"	"142.24"	"-4.82"	"3.63"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
